Form type	Form description	Filing date	Reporting date	Filings URL
10-Q	Quarterly report [Sections 13 or 15(d)]	2014-05-08	2014-03-31	https://www.sec.gov/Archives/edgar/data/0001414932/000141493214000058/0001414932-14-000058-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2014-02-06	2013-12-31	https://www.sec.gov/Archives/edgar/data/0001414932/000141493214000014/0001414932-14-000014-index.htm
10-K	Annual report [Section 13 and 15(d), not S-K Item 405]	2013-11-25	2013-09-30	https://www.sec.gov/Archives/edgar/data/0001414932/000141493213000015/0001414932-13-000015-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2013-08-07	2013-06-30	https://www.sec.gov/Archives/edgar/data/0001414932/000144530513001975/0001445305-13-001975-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2013-05-08	2013-03-31	https://www.sec.gov/Archives/edgar/data/0001414932/000119312513207629/0001193125-13-207629-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2013-02-06	2012-12-31	https://www.sec.gov/Archives/edgar/data/0001414932/000119312513041124/0001193125-13-041124-index.htm
10-K	Annual report [Section 13 and 15(d), not S-K Item 405]	2012-11-28	2012-09-30	https://www.sec.gov/Archives/edgar/data/0001414932/000119312512483872/0001193125-12-483872-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2012-08-08	2012-06-30	https://www.sec.gov/Archives/edgar/data/0001414932/000119312512344089/0001193125-12-344089-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2012-05-08	2012-03-31	https://www.sec.gov/Archives/edgar/data/0001414932/000119312512218513/0001193125-12-218513-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2012-02-08	2011-12-31	https://www.sec.gov/Archives/edgar/data/0001414932/000119312512046703/0001193125-12-046703-index.htm
10-K	Annual report [Section 13 and 15(d), not S-K Item 405]	2011-11-29	2011-09-30	https://www.sec.gov/Archives/edgar/data/0001414932/000119312511324607/0001193125-11-324607-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2011-08-03	2011-06-30	https://www.sec.gov/Archives/edgar/data/0001414932/000095012311072286/0000950123-11-072286-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2011-05-04	2011-03-31	https://www.sec.gov/Archives/edgar/data/0001414932/000095012311044651/0000950123-11-044651-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2011-01-31	2010-12-31	https://www.sec.gov/Archives/edgar/data/0001414932/000095012311007244/0000950123-11-007244-index.htm
10-K	Annual report [Section 13 and 15(d), not S-K Item 405]	2010-12-02	2010-09-30	https://www.sec.gov/Archives/edgar/data/0001414932/000095012310110170/0000950123-10-110170-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2010-08-04	2010-06-30	https://www.sec.gov/Archives/edgar/data/0001414932/000095012310072562/0000950123-10-072562-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2010-05-05	2010-03-31	https://www.sec.gov/Archives/edgar/data/0001414932/000095012310044557/0000950123-10-044557-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2010-02-09	2009-12-31	https://www.sec.gov/Archives/edgar/data/0001414932/000095012310010440/0000950123-10-010440-index.htm
10-K	Annual report [Section 13 and 15(d), not S-K Item 405]	2009-12-09	2009-09-30	https://www.sec.gov/Archives/edgar/data/0001414932/000095012309069598/0000950123-09-069598-index.htm
